tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_ba_to_ko.2;159.00;-230845886_0;5.10;0.00;3.41;425.00;972103805_0;116.86;11.91;266.00;2114.29;49.00;2;0.00;91.68;0;tripinfo_wu_ba_to_ko.2;car;1.10;
wu_ba_to_od.3;153.00;-230845886_0;5.10;0.00;2.33;430.00;23156030#6_0;109.07;9.42;277.00;2315.50;23.00;1;0.00;48.99;0;tripinfo_wu_ba_to_od.3;car;0.92;
wu_od_to_gg.0;49.00;803785575#0_0;5.10;0.00;1.99;434.00;23156305_0;1264.14;10.12;385.00;3669.96;0.00;0;0.00;34.11;0;tripinfo_wu_od_to_gg.0;car;0.95;
wu_od_to_gg.2;101.00;803785575#0_0;5.10;0.00;0.37;436.00;23156305_0;1264.14;12.53;335.00;3669.96;0.00;0;0.00;55.61;0;tripinfo_wu_od_to_gg.2;car;1.19;
wu_od_to_ko.2;108.00;803785575#0_0;5.10;0.00;0.21;442.00;972103805_0;116.86;11.41;334.00;2307.67;101.00;3;0.00;132.11;0;tripinfo_wu_od_to_ko.2;car;1.09;
wu_ba_to_gj.5;244.00;-230845886_0;5.10;0.00;2.18;442.00;23527526_0;253.75;9.87;198.00;1755.68;3.00;1;0.00;22.16;0;tripinfo_wu_ba_to_gj.5;car;0.90;
wu_od_to_ba.5;208.00;803785575#0_0;5.10;0.00;0.28;443.00;230845886_0;633.12;11.77;235.00;2382.14;1.00;1;0.00;32.45;0;tripinfo_wu_od_to_ba.5;car;1.06;
wu_od_to_os.7;356.00;803785575#0_0;5.10;0.00;2.91;444.00;45494495_0;58.90;11.20;88.00;969.96;0.00;0;0.00;8.13;0;tripinfo_wu_od_to_os.7;car;1.10;
wu_as_to_ba.5;335.00;23687583_0;5.10;0.00;0.81;445.00;230845886_0;633.12;12.77;110.00;1356.50;0.00;0;0.00;11.50;0;tripinfo_wu_as_to_ba.5;car;1.28;
wu_od_to_ko.3;117.00;803785575#0_0;5.10;0.00;0.41;446.00;972103805_0;116.86;10.44;329.00;2307.67;80.00;3;0.00;114.46;0;tripinfo_wu_od_to_ko.3;car;1.02;
wu_as_to_sl.1;150.00;23687583_0;5.10;0.00;0.37;449.00;28706217_0;94.10;7.86;299.00;1976.75;90.00;2;0.00;113.57;0;tripinfo_wu_as_to_sl.1;car;0.99;
wu_od_to_ba.6;214.00;803785575#0_0;5.10;0.00;1.43;449.00;230845886_0;633.12;11.63;235.00;2382.14;6.00;2;0.00;44.34;0;tripinfo_wu_od_to_ba.6;car;1.13;
wu_od_to_ko.4;129.00;803785575#0_0;5.10;0.00;0.46;450.00;972103805_0;116.86;10.68;321.00;2307.67;54.00;3;0.00;93.83;0;tripinfo_wu_od_to_ko.4;car;0.96;
wu_as_to_sl.2;157.00;23687583_0;5.10;0.00;0.67;451.00;28706217_0;94.10;8.24;294.00;1976.75;88.00;2;0.00;120.97;0;tripinfo_wu_as_to_sl.2;car;1.06;
wu_od_to_os.8;364.00;803785575#0_0;5.10;0.00;0.71;451.00;45494495_0;58.90;11.85;87.00;969.96;0.00;0;0.00;6.97;0;tripinfo_wu_od_to_os.8;car;1.10;
wu_od_to_ko.5;133.00;803785575#0_0;5.10;0.00;0.26;453.00;972103805_0;116.86;10.39;320.00;2307.67;50.00;3;0.00;92.47;0;tripinfo_wu_od_to_ko.5;car;0.96;
wu_as_to_br.0;258.00;23687583_0;5.10;0.00;0.27;454.00;23156390_0;1121.44;10.25;196.00;1694.48;27.00;1;0.00;42.94;0;tripinfo_wu_as_to_br.0;car;1.00;
wu_od_to_ko.6;139.00;803785575#0_0;5.10;0.00;0.91;456.00;972103805_0;116.86;10.14;317.00;2307.67;45.00;3;0.00;88.10;0;tripinfo_wu_od_to_ko.6;car;0.96;
wu_os_to_sl.1;319.00;-45494495_0;5.10;0.00;0.01;456.00;28706217_0;94.10;8.27;137.00;484.95;70.00;2;0.00;87.93;0;tripinfo_wu_os_to_sl.1;car;1.00;
wu_od_to_ko.7;148.00;803785575#0_0;5.10;0.00;0.59;457.00;972103805_0;116.86;10.18;309.00;2307.67;43.00;3;0.00;96.32;0;tripinfo_wu_od_to_ko.7;car;1.03;
wu_ba_to_br.0;216.00;-230845886_0;5.10;0.00;0.14;458.00;23156390_0;1121.44;10.74;242.00;2198.00;11.00;1;0.00;41.65;0;tripinfo_wu_ba_to_br.0;car;1.00;
wu_ns_to_ko.9;290.00;-23142338#2_0;5.10;0.00;0.55;459.00;972103805_0;116.86;10.63;169.00;1398.55;18.00;1;0.00;37.99;0;tripinfo_wu_ns_to_ko.9;car;0.96;
wu_ns_to_ko.10;298.00;-23142338#2_0;5.10;0.00;0.99;462.00;972103805_0;116.86;11.24;164.00;1398.55;15.00;1;0.00;45.07;0;tripinfo_wu_ns_to_ko.10;car;1.07;
wu_od_to_as.2;197.00;803785575#0_0;5.10;0.00;0.59;463.00;41899283#1_0;148.70;13.04;266.00;2382.09;27.00;1;0.00;91.65;0;tripinfo_wu_od_to_as.2;car;1.24;
wu_ba_to_os.3;285.00;-230845886_0;5.10;0.00;2.29;464.00;45494495_0;58.90;9.57;179.00;1647.96;0.00;0;0.00;14.60;0;tripinfo_wu_ba_to_os.3;car;0.91;
